CBSA,CBSA Code,Days with AQI,Good Days,Moderate Days,Unhealthy for Sensitive Groups Days,Unhealthy Days,Very Unhealthy Days,Hazardous Days,Max AQI
"Sheboygan, WI",43100,100,83,14,2,1,0,0,159
"Shelton, WA",43220,235,235,0,0,0,0,0,41
"Sheridan, WY",43260,182,175,7,0,0,0,0,64
"Show Low, AZ",43320,272,229,42,1,0,0,0,136
"Shreveport-Bossier City, LA",43340,274,224,49,1,0,0,0,126
"Sierra Vista-Douglas, AZ",43420,274,210,62,2,0,0,0,108
"Sioux City, IA-NE-SD",43580,213,185,27,1,0,0,0,141
"Sioux Falls, SD",43620,183,163,20,0,0,0,0,90
"Somerset, KY",43700,142,134,8,0,0,0,0,64
"Somerset, PA",43740,244,236,8,0,0,0,0,71
"Sonora, CA",43760,203,172,31,0,0,0,0,90
"South Bend-Mishawaka, IN-MI",43780,274,210,59,4,1,0,0,162
"Spartanburg, SC",43900,274,235,37,2,0,0,0,112
"Spokane-Spokane Valley, WA",44060,244,193,51,0,0,0,0,87
"Springfield, IL",44100,272,235,37,0,0,0,0,97
"Springfield, MA",44140,224,189,35,0,0,0,0,99
"Springfield, MO",44180,213,189,23,1,0,0,0,116
"Springfield, OH",44220,274,224,49,1,0,0,0,108
"St. Cloud, MN",41060,182,165,17,0,0,0,0,80
"St. George, UT",41100,305,234,68,3,0,0,0,112
"St. Joseph, MO-KS",41140,213,171,41,1,0,0,0,126
"St. Louis, MO-IL",41180,274,123,141,9,1,0,0,155
"St. Marys, PA",41260,238,236,2,0,0,0,0,67
"State College, PA",44300,244,217,27,0,0,0,0,88
"Steamboat Springs, CO",44460,257,253,4,0,0,0,0,68
"Stockton-Lodi, CA",44700,274,185,73,4,12,0,0,195
"Summerville, GA",44900,214,213,1,0,0,0,0,58
"Syracuse, NY",45060,274,247,27,0,0,0,0,74
"Tallahassee, FL",45220,183,133,47,1,2,0,0,161
"Tampa-St. Petersburg-Clearwater, FL",45300,183,125,55,3,0,0,0,112
"Taos, NM",45340,181,172,9,0,0,0,0,64
"Terre Haute, IN",45460,274,231,42,1,0,0,0,112
"Texarkana, TX-AR",45500,182,150,31,1,0,0,0,127
"The Dalles, OR",45520,91,82,9,0,0,0,0,72
"Toledo, OH",45780,274,220,46,8,0,0,0,136
"Topeka, KS",45820,182,146,33,1,2,0,0,169
"Torrington, CT",45860,183,168,15,0,0,0,0,84
"Traverse City, MI",45900,138,127,9,1,1,0,0,164
"Trenton, NJ",45940,242,211,30,1,0,0,0,112
"Truckee-Grass Valley, CA",46020,305,214,59,15,13,4,0,252
"Tucson, AZ",46060,275,131,133,11,0,0,0,126
"Tulsa, OK",46140,275,203,70,2,0,0,0,129
"Tupelo, MS",46180,205,204,1,0,0,0,0,54
"Tuscaloosa, AL",46220,165,159,6,0,0,0,0,97
"Twin Falls, ID",46300,213,213,0,0,0,0,0,37
"Tyler, TX",46340,182,172,10,0,0,0,0,84
"Ukiah, CA",46380,91,74,17,0,0,0,0,66
"Urban Honolulu, HI",46520,183,176,7,0,0,0,0,82
"Utica-Rome, NY",46540,272,263,9,0,0,0,0,78
"Valdosta, GA",46660,119,105,13,1,0,0,0,141
"Vallejo-Fairfield, CA",46700,274,233,34,7,0,0,0,142
"Vernal, UT",46860,305,213,89,2,0,0,1,343
"Victoria, TX",47020,146,132,14,0,0,0,0,100
"Vincennes, IN",47180,233,211,21,1,0,0,0,105
"Vineland-Bridgeton, NJ",47220,182,166,16,0,0,0,0,71
"Vineyard Haven, MA",47240,210,203,6,1,0,0,0,126
"Virginia Beach-Norfolk-Newport News, VA-NC",47260,204,198,6,0,0,0,0,64
"Visalia-Porterville, CA",47300,244,71,100,62,9,2,0,209
"Wabash, IN",47340,242,217,25,0,0,0,0,97
"Waco, TX",47380,183,162,21,0,0,0,0,87
"Walla Walla, WA",47460,244,235,9,0,0,0,0,70
"Warner Robins, GA",47580,241,201,39,1,0,0,0,114
"Warren, PA",47620,242,241,1,0,0,0,0,65
"Washington Court House, OH",47920,238,216,22,0,0,0,0,80
"Washington, IN",47780,270,270,0,0,0,0,0,19
"Washington, NC",47820,259,259,0,0,0,0,0,34
"Washington-Arlington-Alexandria, DC-VA-MD-WV",47900,305,251,52,1,1,0,0,166
"Waterloo-Cedar Falls, IA",47940,305,257,48,0,0,0,0,87
"Watertown, SD",47980,182,167,15,0,0,0,0,88
"Watertown-Fort Atkinson, WI",48020,100,87,9,4,0,0,0,136
"Watertown-Fort Drum, NY",48060,269,256,13,0,0,0,0,90
"Wausau, WI",48140,92,86,6,0,0,0,0,74
"Weirton-Steubenville, WV-OH",48260,274,208,65,1,0,0,0,133
"Wenatchee, WA",48300,244,239,5,0,0,0,0,55
"Wheeling, WV-OH",48540,274,240,33,1,0,0,0,101
"Whitewater-Elkhorn, WI",48580,92,80,8,4,0,0,0,136
"Wichita, KS",48620,182,144,34,4,0,0,0,117
"Williamsport, PA",48700,244,221,23,0,0,0,0,77
"Williston, ND",48780,182,182,0,0,0,0,0,20
"Wilmington, NC",48900,265,255,10,0,0,0,0,74
"Wilmington, OH",48940,198,174,24,0,0,0,0,97
"Winchester, VA-WV",49020,232,225,7,0,0,0,0,60
"Winona, MN",49100,20,19,1,0,0,0,0,52
"Winston-Salem, NC",49180,244,190,54,0,0,0,0,97
"Worcester, MA-CT",49340,237,206,31,0,0,0,0,90
"Yakima, WA",49420,244,209,35,0,0,0,0,90
"York-Hanover, PA",49620,244,201,43,0,0,0,0,96
"Youngstown-Warren-Boardman, OH-PA",49660,274,227,43,3,1,0,0,153
"Yuba City, CA",49700,213,162,50,0,1,0,0,159
"Yuma, AZ",49740,274,206,68,0,0,0,0,99
