CBSA,CBSA Code,Days with AQI,Good Days,Moderate Days,Unhealthy for Sensitive Groups Days,Unhealthy Days,Very Unhealthy Days,Hazardous Days,Max AQI
"College Station-Bryan, TX",17780,169,151,18,0,0,0,0,99
"Colorado Springs, CO",17820,275,183,85,6,1,0,0,151
"Columbia, MO",17860,153,144,9,0,0,0,0,93
"Columbia, SC",17900,275,244,30,1,0,0,0,117
"Columbus, GA-AL",17980,274,230,43,1,0,0,0,101
"Columbus, IN",18020,274,241,33,0,0,0,0,97
"Columbus, OH",18140,275,221,52,2,0,0,0,101
"Concord, NH",18180,182,180,2,0,0,0,0,71
"Cookeville, TN",18260,180,175,4,1,0,0,0,105
"Corning, NY",18500,275,268,7,0,0,0,0,77
"Corpus Christi, TX",18580,182,126,54,0,2,0,0,159
"Corsicana, TX",18620,213,154,53,6,0,0,0,147
"Corvallis, OR",18700,182,181,1,0,0,0,0,52
"Crescent City, CA",18860,170,146,18,3,2,1,0,220
"Crestview-Fort Walton Beach-Destin, FL",18880,181,175,6,0,0,0,0,74
"Cullowhee, NC",19000,20,20,0,0,0,0,0,38
"Cumberland, MD-WV",19060,156,156,0,0,0,0,0,9
"Dallas-Fort Worth-Arlington, TX",19100,214,118,85,10,1,0,0,151
"Dalton, GA",19140,198,187,10,1,0,0,0,139
"Daphne-Fairhope-Foley, AL",19300,168,159,9,0,0,0,0,74
"Davenport-Moline-Rock Island, IA-IL",19340,306,194,109,2,1,0,0,155
"Dayton, OH",19380,275,191,80,4,0,0,0,112
"Decatur, AL",19460,202,181,21,0,0,0,0,71
"Decatur, IL",19500,274,215,59,0,0,0,0,90
"Deltona-Daytona Beach-Ormond Beach, FL",19660,182,160,22,0,0,0,0,77
"Deming, NM",19700,262,249,12,0,0,0,1,360
"Denver-Aurora-Lakewood, CO",19740,285,89,165,27,4,0,0,161
"Des Moines-West Des Moines, IA",19780,305,263,40,0,2,0,0,186
"Detroit-Warren-Dearborn, MI",19820,183,104,70,9,0,0,0,126
"Dickinson, ND",19860,273,267,6,0,0,0,0,57
"Dodge City, KS",19980,155,154,1,0,0,0,0,67
"Douglas, GA",20060,80,78,1,1,0,0,0,108
"Dover, DE",20100,182,166,16,0,0,0,0,80
"DuBois, PA",20180,203,201,2,0,0,0,0,54
"Duluth, MN-WI",20260,242,222,19,1,0,0,0,104
"Durango, CO",20420,238,194,44,0,0,0,0,90
"Durham-Chapel Hill, NC",20500,274,255,19,0,0,0,0,97
"Dyersburg, TN",20540,173,163,9,1,0,0,0,117
"Eagle Pass, TX",20580,165,143,21,0,1,0,0,160
"East Stroudsburg, PA",20700,208,206,2,0,0,0,0,80
"Eau Claire, WI",20740,182,160,22,0,0,0,0,93
"Effingham, IL",20820,135,125,10,0,0,0,0,84
"El Centro, CA",20940,197,130,65,2,0,0,0,124
"El Dorado, AR",20980,91,79,12,0,0,0,0,89
"El Paso, TX",21340,183,96,82,5,0,0,0,116
"Elizabethtown-Fort Knox, KY",21060,182,162,20,0,0,0,0,80
"Elkhart-Goshen, IN",21140,274,244,28,0,2,0,0,158
"Elko, NV",21220,179,177,2,0,0,0,0,86
"Ellensburg, WA",21260,243,233,10,0,0,0,0,64
"Emporia, KS",21380,20,20,0,0,0,0,0,30
"Enid, OK",21420,269,268,1,0,0,0,0,51
"Erie, PA",21500,245,224,21,0,0,0,0,82
"Espa¤ola, NM",21580,179,153,26,0,0,0,0,77
"Eugene, OR",21660,274,211,51,2,0,2,8,550
"Eureka-Arcata-Fortuna, CA",21700,273,266,7,0,0,0,0,64
"Evanston, WY",21740,237,194,41,2,0,0,0,122
"Evansville, IN-KY",21780,275,211,59,5,0,0,0,114
"Fairbanks, AK",21820,183,132,41,3,7,0,0,167
"Fairmont, WV",21900,58,54,4,0,0,0,0,67
"Fallon, NV",21980,179,170,9,0,0,0,0,90
"Fargo, ND-MN",22020,271,257,14,0,0,0,0,80
"Farmington, NM",22140,274,209,65,0,0,0,0,100
"Fayetteville, NC",22180,273,250,23,0,0,0,0,81
"Fayetteville-Springdale-Rogers, AR-MO",22220,274,236,37,1,0,0,0,150
"Fernley, NV",22280,179,175,4,0,0,0,0,87
"Flagstaff, AZ",22380,274,227,47,0,0,0,0,93
"Flint, MI",22420,182,161,20,1,0,0,0,126
"Florence, SC",22500,274,262,12,0,0,0,0,95
"Fond du Lac, WI",22540,95,86,7,2,0,0,0,115
"Fort Collins, CO",22660,270,155,104,11,0,0,0,146
"Fort Madison-Keokuk, IA-IL-MO",22800,91,82,9,0,0,0,0,60
"Fort Payne, AL",22840,242,234,8,0,0,0,0,90
"Fort Smith, AR-OK",22900,211,194,16,1,0,0,0,141
"Fort Wayne, IN",23060,274,190,82,2,0,0,0,120
"Fresno, CA",23420,274,87,135,36,16,0,0,198
"Gadsden, AL",23460,169,161,8,0,0,0,0,92
